filename,lat,lon,class_code,class_name,dominant_prop,nodata_frac,is_mixed,is_nodata
28.9178_76.9910.png,28.9178,76.991,40,Cropland,0.7376708984375,0.0,False,False
28.9178_77.3321.png,28.9178,77.3321,40,Cropland,0.8551025390625,0.0,False,False
28.9178_77.1234.png,28.9178,77.1234,40,Cropland,0.91302490234375,0.0,False,False
28.9090_77.6410.png,28.909,77.641,40,Cropland,0.54229736328125,0.0,False,False
28.9178_77.0909.png,28.9178,77.0909,50,Built-up,0.50146484375,0.0,False,False
28.9178_77.5058.png,28.9178,77.5058,10,Tree cover,0.7525634765625,0.0,False,False
28.9090_77.3734.png,28.909,77.3734,40,Cropland,0.63720703125,0.0,False,False
28.9090_77.4321.png,28.909,77.4321,30,Grassland,0.33074951171875,0.0,True,False
28.9090_77.2444.png,28.909,77.2444,40,Cropland,0.66204833984375,0.0,False,False
28.9178_76.8558.png,28.9178,76.8558,40,Cropland,0.75250244140625,0.0,False,False
28.9178_77.1821.png,28.9178,77.1821,40,Cropland,0.37445068359375,0.0,True,False
28.9178_77.3233.png,28.9178,77.3233,40,Cropland,0.6302490234375,0.0,False,False
28.9178_77.0058.png,28.9178,77.0058,40,Cropland,0.6929931640625,0.0,False,False
28.9178_77.2058.png,28.9178,77.2058,40,Cropland,0.832275390625,0.0,False,False
28.9178_77.5146.png,28.9178,77.5146,10,Tree cover,0.60406494140625,0.0,False,False
28.9178_77.0733.png,28.9178,77.0733,40,Cropland,0.82958984375,0.0,False,False
28.9178_77.5234.png,28.9178,77.5234,20,Shrubland,0.5242919921875,0.0,False,False
28.9178_77.3558.png,28.9178,77.3558,40,Cropland,0.87255859375,0.0,False,False
28.9090_77.3943.png,28.909,77.3943,40,Cropland,0.764892578125,0.0,False,False
28.9090_77.3558.png,28.909,77.3558,40,Cropland,0.7281494140625,0.0,False,False
28.9178_77.3145.png,28.9178,77.3145,40,Cropland,0.47088623046875,0.0,True,False
28.9178_77.2943.png,28.9178,77.2943,40,Cropland,0.96160888671875,0.0,False,False
28.9178_77.3409.png,28.9178,77.3409,40,Cropland,0.4818115234375,0.0,True,False
28.9090_77.5058.png,28.909,77.5058,50,Built-up,0.547119140625,0.0,False,False
28.9178_76.9409.png,28.9178,76.9409,40,Cropland,0.9422607421875,0.0,False,False
