filename,lat,lon,filepath,geometry,index_right
28.9178_76.9910.png,28.9178,76.991,/content/drive/MyDrive/earth-observation-iitgn-2025/data/rgb/28.9178_76.9910.png,POINT (109044.14749612223 3205499.41504004),16
28.9178_77.3321.png,28.9178,77.3321,/content/drive/MyDrive/earth-observation-iitgn-2025/data/rgb/28.9178_77.3321.png,POINT (142333.5506041902 3204419.362952729),23
28.9178_77.1234.png,28.9178,77.1234,/content/drive/MyDrive/earth-observation-iitgn-2025/data/rgb/28.9178_77.1234.png,POINT (121966.47492497665 3205068.726899913),16
28.9090_77.6410.png,28.909,77.641,/content/drive/MyDrive/earth-observation-iitgn-2025/data/rgb/28.9090_77.6410.png,POINT (172446.84694076586 3202548.627977438),23
28.9178_77.0909.png,28.9178,77.0909,/content/drive/MyDrive/earth-observation-iitgn-2025/data/rgb/28.9178_77.0909.png,POINT (118794.5550637411 3205173.1002237215),16
28.9178_77.5058.png,28.9178,77.5058,/content/drive/MyDrive/earth-observation-iitgn-2025/data/rgb/28.9178_77.5058.png,POINT (159283.0237075918 3203906.4277258385),23
28.9090_77.3734.png,28.909,77.3734,/content/drive/MyDrive/earth-observation-iitgn-2025/data/rgb/28.9090_77.3734.png,POINT (146333.8112224682 3203319.1393618975),23
28.9090_77.4321.png,28.909,77.4321,/content/drive/MyDrive/earth-observation-iitgn-2025/data/rgb/28.9090_77.4321.png,POINT (152062.23848473944 3203145.044504882),23
28.9090_77.2444.png,28.909,77.2444,/content/drive/MyDrive/earth-observation-iitgn-2025/data/rgb/28.9090_77.2444.png,POINT (133744.22970875894 3203711.7642540247),16
28.9178_76.8558.png,28.9178,76.8558,/content/drive/MyDrive/earth-observation-iitgn-2025/data/rgb/28.9178_76.8558.png,POINT (95847.38351229613 3205954.22605861),16
28.9178_77.1821.png,28.9178,77.1821,/content/drive/MyDrive/earth-observation-iitgn-2025/data/rgb/28.9178_77.1821.png,POINT (127695.28537034057 3204882.432947774),16
28.9178_77.3233.png,28.9178,77.3233,/content/drive/MyDrive/earth-observation-iitgn-2025/data/rgb/28.9178_77.3233.png,POINT (141474.80917758698 3204446.014693556),23
28.9178_77.0058.png,28.9178,77.0058,/content/drive/MyDrive/earth-observation-iitgn-2025/data/rgb/28.9178_77.0058.png,POINT (110488.69212622277 3205450.549505045),16
28.9178_77.2058.png,28.9178,77.2058,/content/drive/MyDrive/earth-observation-iitgn-2025/data/rgb/28.9178_77.2058.png,POINT (130008.22086159472 3204808.0269824564),16
28.9178_77.5146.png,28.9178,77.5146,/content/drive/MyDrive/earth-observation-iitgn-2025/data/rgb/28.9178_77.5146.png,POINT (160141.67357704544 3203881.106587424),23
28.9178_77.0733.png,28.9178,77.0733,/content/drive/MyDrive/earth-observation-iitgn-2025/data/rgb/28.9178_77.0733.png,POINT (117076.81106164522 3205229.988157871),16
28.9178_77.5234.png,28.9178,77.5234,/content/drive/MyDrive/earth-observation-iitgn-2025/data/rgb/28.9178_77.5234.png,POINT (161000.31914953375 3203855.8495855317),23
28.9178_77.3558.png,28.9178,77.3558,/content/drive/MyDrive/earth-observation-iitgn-2025/data/rgb/28.9178_77.3558.png,POINT (144646.2749433709 3204347.904156499),23
28.9090_77.3943.png,28.909,77.3943,/content/drive/MyDrive/earth-observation-iitgn-2025/data/rgb/28.9090_77.3943.png,POINT (148373.4272266127 3203256.826053617),23
28.9090_77.3558.png,28.909,77.3558,/content/drive/MyDrive/earth-observation-iitgn-2025/data/rgb/28.9090_77.3558.png,POINT (144616.22028492612 3203371.8944244743),23
28.9178_77.3145.png,28.9178,77.3145,/content/drive/MyDrive/earth-observation-iitgn-2025/data/rgb/28.9178_77.3145.png,POINT (140616.06321832724 3204472.730619425),16
